,nifty_log_return
2019-01-01,0.003963296604694106
2019-01-02,-0.005699272816576605
2019-01-03,0.004548783561490526
2019-01-04,0.008401453748562483
2019-01-07,0.0029721485789426013
2019-01-08,2.7484934550452843e-05
2019-01-09,0.002758476481844415
2019-01-10,0.011406105685201024
2019-01-11,-0.012193073729616758
2019-01-14,0.014956941522324201
2019-01-15,-0.004545223957430243
2019-01-16,-0.0022264676608360796
2019-01-17,-0.0042005215071089595
2019-01-18,-0.005986894100585381
2019-01-21,-0.0017774887254971296
2019-01-22,0.003925152695420354
2019-01-23,0.003320059600527072
2019-01-24,0.0031433478660564157
2019-01-25,-0.0010158812794303822
2019-01-28,0.006317787560638714
2019-01-29,-0.007511067567846534
2019-01-30,0.0033934836897236502
2019-01-31,0.002122962439416036
2019-02-01,0.005566298941942226
2019-02-04,0.008227124530205139
2019-02-05,-0.015585632082244427
2019-02-06,-0.0008678732645714012
2019-02-07,-0.0016490053858251913
2019-02-08,-0.0064885591433691495
2019-02-11,-0.014617916906679792
2019-02-12,0.007916493694868803
2019-02-13,0.009145149695687428
2019-02-14,0.005328276300455367
2019-02-15,0.0015269096231324733
2019-02-18,-0.003085537092056481
2019-02-19,0.0010542033503298082
2019-02-20,0.0004743553423136079
2019-02-21,-0.022519948115256087
2019-02-22,0.007580085329394358
2019-02-25,0.0107437456761857
2019-02-26,-0.002223157576891069
2019-02-27,-0.00010609311980130313
2019-02-28,0.0217402695435242
2019-03-01,-0.01062032418325154
2019-03-04,-0.00802577487037263
2019-03-05,-0.0004167735594205861
2019-03-06,0.00028197247235985573
2019-03-07,0.003916483731578084
2019-03-08,0.0021902910642940085
2019-03-11,0.010204809909032119
2019-03-12,-0.0009287609881746876
2019-03-13,-0.005165841342607802
2019-03-14,0.011437268718402786
2019-03-15,0.004211750688309707
2019-03-18,-0.006293236263968091
2019-03-19,0.007394955177013298
2019-03-20,0.004720303322846042
2019-03-21,0.0034806319734058174
2019-03-22,-0.006537832058163235
2019-03-25,-0.0044644953399019804
2019-03-26,-0.0019361045008518263
2019-03-27,0.010302207872580217
2019-03-28,-0.016622423635329186
2019-03-29,0.006953471577440675
2019-04-01,0.006691952970808163
2019-04-02,0.015246611688726274
2019-04-03,-0.0023488187122668465
2019-04-04,-0.006758907596618317
2019-04-05,-0.010090970117586799
2019-04-08,-0.002810241047886684
2019-04-09,0.00791749346625811
2019-04-10,-0.010721355526272488
2019-04-11,0.0065558951566229715
2019-04-12,0.0015555313571766194
2019-04-15,0.010059997572796922
2019-04-16,0.002825786828848209
2019-04-17,0.002499981788565773
2019-04-18,-0.003945663737912556
2019-04-19,-0.004157604291003751
2019-04-22,6.59712002829947e-05
2019-04-23,-0.005890408780450572
2019-04-24,0.008630056289651352
2019-04-25,-0.0022914305693713744
2019-04-26,-0.001104205814711969
2019-04-29,-0.0002701472421674546
2019-04-30,0.01198556388564846
2019-05-01,0.008564412338544504
2019-05-02,0.015105222778684058
2019-05-03,0.0005017103992746498
2019-05-06,0.0007083008773923317
2019-05-07,0.007234324341596682
2019-05-08,0.0005252143719880357
2019-05-09,0.012001080590268241
2019-05-10,0.0029171143353234744
2019-05-13,-0.005721908813088224
2019-05-14,-0.005178583054159177
2019-05-15,-0.012782032086035879
2019-05-16,-0.007492593797071628
2019-05-17,0.0016665252764911866
2019-05-20,-0.006037111453326399
2019-05-21,-0.008003039646182578
2019-05-22,-0.004807597218535925
2019-05-23,0.0012574757744523843
2019-05-24,-0.00333798291911755
2019-05-27,-0.0009807042489562796
2019-05-28,0.00595202711237923
2019-05-29,-0.0022259775772629016
2019-05-30,-0.006808159825453876
2019-05-31,0.008413310399770788
2019-06-03,0.005569883129793729
2019-06-04,0.012380719652676522
2019-06-05,-0.0011955368441029285
2019-06-06,0.0013018336595568298
2019-06-07,0.002071876423176446
2019-06-10,0.003377729479609837
2019-06-11,0.00387508947830828
2019-06-12,0.00029746960577026443
2019-06-13,0.016369684685777732
2019-06-14,0.008334344203000664
2019-06-17,-0.0020976381572187807
2019-06-18,-0.008710049097854538
2019-06-19,0.00139329441098847
2019-06-20,0.00035096497498302584
2019-06-21,-0.00883823072562395
2019-06-24,0.012874259553505995
2019-06-25,0.012369923568330684
2019-06-26,0.004822890448886222
2019-06-27,0.0005889762019442601
2019-06-28,0.01677554269394074
2019-07-01,-0.013619210740930077
2019-07-02,-0.014552649744808552
2019-07-03,-0.011328874678505617
2019-07-04,-0.012113134419859981
2019-07-05,-0.009706241881252978
2019-07-08,-0.012050686305919602
2019-07-09,-0.007133099110892189
2019-07-10,-0.006786600970871278
2019-07-11,-0.01711046748885216
2019-07-12,0.002222359218644758
2019-07-15,0.006574025350073899
2019-07-16,-0.0005062148501248727
2019-07-17,0.0032583096289093144
2019-07-18,0.004703147295986836
2019-07-19,0.0085725886154414
2019-07-22,-0.0026790908531357104
2019-07-23,-0.002701277437452856
2019-07-24,-0.010528317440705114
2019-07-25,-0.006416532611587768
2019-07-26,0.019825553310798584
2019-07-29,0.006670947559730941
