date,ticker,composite_score
2020-02-29,RELIANCE.NS,0.6666666666666666
2020-02-29,TCS.NS,0.22916666666666669
2020-02-29,HDFCBANK.NS,0.625
2020-02-29,INFY.NS,0.2916666666666667
2020-02-29,ICICIBANK.NS,0.5416666666666667
2020-02-29,LT.NS,0.5624999999999999
2020-02-29,SBIN.NS,0.7291666666666667
2020-02-29,AXISBANK.NS,0.6041666666666666
2020-02-29,HINDUNILVR.NS,0.7083333333333333
2020-02-29,BHARTIARTL.NS,0.47916666666666663
2020-02-29,MARUTI.NS,0.5208333333333333
2020-02-29,SUNPHARMA.NS,0.5416666666666666
2020-03-31,RELIANCE.NS,0.7708333333333334
2020-03-31,TCS.NS,0.25
2020-03-31,HDFCBANK.NS,0.5625
2020-03-31,INFY.NS,0.16666666666666666
2020-03-31,ICICIBANK.NS,0.5416666666666667
2020-03-31,LT.NS,0.6041666666666666
2020-03-31,SBIN.NS,0.7916666666666667
2020-03-31,AXISBANK.NS,0.6041666666666666
2020-03-31,HINDUNILVR.NS,0.6666666666666666
2020-03-31,BHARTIARTL.NS,0.49999999999999994
2020-03-31,MARUTI.NS,0.4791666666666667
2020-03-31,SUNPHARMA.NS,0.5625
2020-04-30,RELIANCE.NS,0.7708333333333333
2020-04-30,TCS.NS,0.41666666666666663
2020-04-30,HDFCBANK.NS,0.6041666666666666
2020-04-30,INFY.NS,0.3125
2020-04-30,ICICIBANK.NS,0.6666666666666667
2020-04-30,LT.NS,0.5416666666666666
2020-04-30,SBIN.NS,0.7083333333333334
2020-04-30,AXISBANK.NS,0.3958333333333333
2020-04-30,HINDUNILVR.NS,0.625
2020-04-30,BHARTIARTL.NS,0.5208333333333333
2020-04-30,MARUTI.NS,0.4791666666666667
2020-04-30,SUNPHARMA.NS,0.45833333333333337
2020-05-31,RELIANCE.NS,0.6458333333333333
2020-05-31,TCS.NS,0.35416666666666663
2020-05-31,HDFCBANK.NS,0.6041666666666666
2020-05-31,INFY.NS,0.20833333333333334
2020-05-31,ICICIBANK.NS,0.6250000000000001
2020-05-31,LT.NS,0.5208333333333333
2020-05-31,SBIN.NS,0.7708333333333334
