strike,maturity_years,option_type_used,market_price,implied_volatility,true_synthetic_volatility,reconstruction_error
75,0.08,put,7.1806365585198395e-06,0.2344671875,0.23582106781186546,-0.0013538803118654519
85,0.08,put,0.004142300826249418,0.21061849517822268,0.2106210678118655,-2.5726336428111285e-06
95,0.08,put,0.42557045454623577,0.19302092962265016,0.19302106781186548,-1.3818921532071649e-07
100,0.08,call,2.3327840073585264,0.18707109429240226,0.18707106781186547,2.6480536791106957e-08
105,0.08,call,0.614440968097373,0.18802110105752945,0.18802106781186548,3.3245663971781525e-08
115,0.08,call,0.013985371544549374,0.19562151279449463,0.19562106781186547,4.449826291608172e-07
125,0.08,call,0.00019648270952973487,0.21084736938476561,0.21082106781186546,2.630157290015034e-05
75,0.25,put,0.02083086301338266,0.24125044679641722,0.24125,4.4679641722500385e-07
85,0.25,put,0.21299813951080093,0.2160499661922455,0.21605000000000002,-3.380775451256035e-08
95,0.25,put,1.4777371412851288,0.1984499867290258,0.19845000000000002,-1.3270974208445807e-08
100,0.25,call,4.5337273594718255,0.1924999725908041,0.1925,-2.7409195912930784e-08
105,0.25,call,2.397585974009118,0.19344997935593128,0.19345,-2.0644068732256216e-08
115,0.25,call,0.5371416093815498,0.20104994407296184,0.20105,-5.59270381672583e-08
125,0.25,call,0.12048123802158628,0.2162502311229706,0.21625,2.3112297059535436e-07
75,0.5,put,0.20722909383048638,0.24642765287160878,0.24642766952966366,-1.6658054879936657e-08
85,0.5,put,0.7726947172427359,0.2212277086913586,0.2212276695296637,3.9161694914691125e-08
95,0.5,put,2.5382260242267947,0.203627639824152,0.20362766952966369,-2.970551168934854e-08
100,0.5,call,6.958391842395983,0.1976776703879237,0.19767766952966367,8.58260018610224e-10
105,0.5,call,4.6476762546010875,0.19862767715305088,0.19862766952966368,7.623387199284792e-09
115,0.5,call,1.9517071264352417,0.20622768657207485,0.20622766952966368,1.7042411176726446e-08
125,0.5,call,0.8724708381123065,0.22142761600613592,0.22142766952966367,-5.352352774878888e-08
75,1.0,put,0.8685650481406393,0.25375001820921894,0.25375,1.820921896600325e-08
85,1.0,put,1.8631801243670374,0.22854998462498188,0.22855,-1.5375018119767603e-08
95,1.0,put,3.921504160604428,0.21095000516176224,0.21095,5.161762239858092e-09
100,1.0,call,10.904491754741542,0.20499999102354047,0.205,-8.976459520138036e-09
105,1.0,call,8.4895650692131,0.20594999778866763,0.20595,-2.2113323672190432e-09
115,1.0,call,5.143717190930552,0.21355000720769166,0.21355,7.207691665733762e-09
125,1.0,call,3.3361758593574784,0.2287499813437462,0.22874999999999998,-1.865625379182667e-08
75,2.0,put,2.2261646992053965,0.2641053243994713,0.26410533905932737,-1.4659856051313369e-08
85,2.0,put,3.473574354786166,0.23890533551722762,0.2389053390593274,-3.5420997801516307e-09
95,2.0,put,5.540253818024677,0.221305356054008,0.2213053390593274,1.699468060722964e-08
100,2.0,call,17.414910253844226,0.21535534191578629,0.21535533905932738,2.856458902744663e-09
105,2.0,call,14.997559006930722,0.21630534868091347,0.2163053390593274,9.621586083419231e-09
115,2.0,call,11.315369732146223,0.22390533574894073,0.22390533905932739,-3.310386659238773e-09
125,2.0,call,9.021324328940516,0.23910533223599192,0.23910533905932738,-6.823335452210699e-09
