income,loan_amount,credit_score,debt_to_income,employment_years,late_payments_12m,existing_credit_lines,loan_to_income,true_pd,default,lgd,ead,model_pd,expected_loss
1011562.1633795204,996018.5544987316,647.296166193396,0.19153205924462632,4.100981084055844,0,4,0.9846340546893735,0.03699440050948479,0,0.4341143861888678,951408.6152194338,0.03522608254942691,14549.08249770001
1866832.8935207168,1200350.379091778,707.3550683056059,0.6418003591491266,5.40430106125605,0,9,0.6429875878327818,0.0775482049816606,0,0.454960225716679,1013209.076706897,0.07365619591457923,33953.28412662896
1056561.1278267023,273207.5480780437,764.5232722361648,0.21193358313634184,7.617081677913336,2,4,0.25858186609611417,0.01646901359888139,0,0.2953064197073306,261476.11767193506,0.022868393381751485,1765.7961705664145
1393488.1123344472,449824.9445790071,604.0534132449012,0.17558428716102162,3.52422388918609,2,4,0.3228050103889554,0.08324851349114659,0,0.44662526453716944,355066.8240249786,0.0782258665933386,12405.199842405971
1253443.01159653,793775.1337604955,742.6868318640452,0.5257694824293734,11.47945289269421,1,4,0.6332758062526127,0.0319295274133114,0,0.5487042704509724,782294.2004500552,0.03952939146139121,16967.918888143755
1258633.1133141145,248723.5483448393,611.872616177663,0.2735471012264689,2.633398207552385,2,6,0.19761401929901862,0.110712190999388,0,0.45468800355172534,198947.68896315727,0.10106586271657618,9142.329761971296
475645.34312201006,348587.05672436336,657.9305477673296,0.28150225091805803,3.146301437528077,2,2,0.7328717956877917,0.0863378832544822,0,0.4152130110716357,288114.8999157944,0.07978933361150829,9545.122589288569
1556035.2377979853,480476.2179513341,714.2279210235309,0.02,2.5114481583270236,1,2,0.30878235034784773,0.013319241139630976,0,0.49183218176080207,408304.4613370547,0.015021247881369468,3016.5260522468757
1187710.2395495693,648071.1220573508,592.947078155919,0.14490443811771236,2.699733802622571,2,2,0.5456474992613747,0.09290227283971295,0,0.521867597014305,533414.6652425941,0.0820557432915054,22842.007386154266
492915.63944874314,410664.3064192256,594.6549255934364,0.030171539077874045,8.595877281035987,1,2,0.8331330425597693,0.0324586115937759,0,0.3531070076226904,397365.21346549457,0.035494825047873366,4980.365561668083
659056.0003231118,1106913.8971953418,609.5456345303942,0.23720935287619171,6.160305458701583,2,4,1.6795445252795835,0.15239799183963504,0,0.1844267881710166,879243.276928557,0.1463120026393811,23725.371087624448
757544.5709234622,348118.268235071,676.8690391659004,0.292164584825229,2.981377763918596,0,2,0.4595350314644956,0.03010020922773323,0,0.4137588699807439,306883.57966743,0.027241064213782373,3458.956006901769
2093014.975634246,977645.4026090484,814.2715894196508,0.2746612148840107,2.598501319004246,0,5,0.46709909579734027,0.009703631918787805,0,0.4085092478148941,972763.923532988,0.011602330692426114,4610.56965865073
1772176.6124205273,1284487.496128711,657.373662569343,0.15836025870256282,10.58315740945779,2,7,0.7248078363782794,0.04020924248489566,0,0.41190196086221165,1073054.43008711,0.05372233493949365,23744.90801344943
861118.4869179656,468517.01008945575,777.1736707978864,0.5407765585479216,3.0563240392306765,1,3,0.5440796094929141,0.04375784844896298,0,0.5217876547036587,396565.4606337156,0.04290780683982654,8878.610468797238
