,hedge_ratio,spread,zscore,position,strategy_return
2020-06-16,0.8067151702745219,0.8699628807406801,1.7514565325429465,0.0,0.0
2020-06-17,0.8195151360479557,0.8233908726286336,1.594614885924597,0.0,0.0
2020-06-18,0.8394377707899823,0.7323519214830547,1.3435963674900615,0.0,-0.0
2020-06-19,0.8586651733292319,0.6504827358824752,1.1196427951550243,0.0,0.0
2020-06-22,0.8994934891027097,0.495781070186573,0.7415872382677016,0.0,0.0
2020-06-23,0.9777970718669151,0.12058211431062471,-0.13043765063276136,0.0,-0.0
2020-06-24,1.019888783697793,-0.05840037065548653,-0.5640663985810227,0.0,0.0
2020-06-25,1.0831804389079749,-0.3531310380142889,-1.258390916931215,0.0,-0.0
2020-06-26,1.1196461190771678,-0.5244217954824295,-1.6603209171886528,0.0,-0.0
2020-06-29,1.1473065317503837,-0.6907001294203878,-2.0078781241747614,1.0,-0.0
2020-06-30,1.0960639344939602,-0.4675777848310192,-1.4814350315119538,1.0,-0.009633132792182676
2020-07-01,1.0417159163478946,-0.20872474234772564,-0.8929716306804999,1.0,0.010925005232543576
2020-07-02,1.0164503851189524,-0.11794922880107439,-0.6895767823040139,1.0,-0.023211025934446513
2020-07-03,0.9913495695520665,0.002407064968110717,-0.4170770136935017,0.0,0.006839589576799511
2020-07-06,0.9743033886319212,0.0336721563121376,-0.3457671288798836,0.0,-0.0
2020-07-07,0.9167696200163498,0.30998566057103716,0.2868195794719883,0.0,0.0
2020-07-08,0.8711526239652554,0.5262061803892735,0.7637099793430502,0.0,0.0
2020-07-09,0.8224795395206322,0.7560027507660503,1.2471167126432656,0.0,0.0
2020-07-10,0.7924818869294675,0.9200354710202223,1.5574124347235447,0.0,0.0
2020-07-13,0.786258917336614,0.9314297438630459,1.5218312944636756,0.0,-0.0
2020-07-14,0.7601938226495039,1.0299646794070614,1.6692770416469445,0.0,-0.0
2020-07-15,0.7273635201634608,1.1805033485220058,1.903997382066752,0.0,0.0
2020-07-16,0.6879449444811714,1.390430812186954,2.219639050588081,-1.0,0.0
2020-07-17,0.6684897146430183,1.4828622113660161,2.2702646346915802,-1.0,-0.0036752932173829272
2020-07-20,0.6514664159986808,1.5625290322061338,2.2865030682392944,-1.0,-0.0018919045557073228
2020-07-21,0.6487247556971474,1.5369465705398397,2.1174154484509824,-1.0,0.03744703233462184
2020-07-22,0.6080248747735875,1.7304694546909163,2.32728932516872,-1.0,-0.007955838738609753
2020-07-23,0.581662780028276,1.901701011254294,2.4606037660636018,-1.0,-0.051885569764414365
2020-07-24,0.59948186167983,1.8284637011811382,2.200771152244324,-1.0,-0.00825480324590384
2020-07-27,0.6394603994276727,1.6582131608542303,1.8289010107085495,-1.0,-0.012470075672902627
2020-07-28,0.6656745549305241,1.5189545548117551,1.5403759720511612,-1.0,0.01952237133798273
2020-07-29,0.6626754469430844,1.5506406516737603,1.5305015731464842,-1.0,-0.018171432939374697
2020-07-30,0.6717500702081781,1.5359542513211428,1.4519521306417342,-1.0,-0.026783459338414955
2020-07-31,0.6905888204579502,1.4124495659446006,1.2158942970320685,-1.0,0.0377650675077896
2020-08-03,0.6722575472222925,1.4922808456557157,1.2969622309179667,-1.0,0.00418034776691882
2020-08-04,0.6485614521884001,1.6193076258082177,1.4434779657943102,-1.0,-0.018471821208570893
2020-08-05,0.6609828540807955,1.5885866057325275,1.3468067054085322,-1.0,-0.02714685125450343
2020-08-06,0.7288932256485968,1.2463655878264985,0.7874208620951115,-1.0,0.02764412811314073
2020-08-07,0.7503940285701773,1.129035712061221,0.5810479531080786,-1.0,0.017573369897732664
2020-08-10,0.7545188270145496,1.116622362284334,0.5396439413037357,-1.0,-0.006625387327797802
2020-08-11,0.7725780717828981,1.0381933541856299,0.39429590666860126,0.0,-0.00493473310607262
2020-08-12,0.7946564618725912,0.9522246241284815,0.2386252608815731,0.0,0.0
2020-08-13,0.8283402415450615,0.7665856893227332,-0.07134869241659099,0.0,-0.0
2020-08-14,0.8143785965266702,0.822271126275198,0.00576771740866207,0.0,-0.0
2020-08-17,0.8164723783556247,0.832031480922701,0.008682090293284905,0.0,0.0
2020-08-18,0.8247816884573945,0.7965062886188323,-0.06019293128625415,0.0,0.0
2020-08-19,0.8315270475927253,0.7999793590369917,-0.06428696884743844,0.0,0.0
2020-08-20,0.8597782605600799,0.6398750614610904,-0.32908411500075385,0.0,-0.0
2020-08-21,0.8861154074955532,0.49089331015726945,-0.5656085374778885,0.0,-0.0
2020-08-24,0.8897835857697823,0.48516867822406606,-0.563598130669118,0.0,0.0
2020-08-25,0.8988274976039843,0.4651745786501058,-0.5830286252538707,0.0,0.0
2020-08-26,0.9347808915422022,0.26477543701623674,-0.8885980018259706,0.0,-0.0
2020-08-27,0.9534087123760152,0.16431830135297965,-1.0263059379117245,0.0,-0.0
