,portfolio_return
2019-01-02,-0.012806842988965977
2019-01-03,0.008196394272171743
2019-01-04,0.009332183000195915
2019-01-07,-0.004447438194228815
2019-01-08,0.009001098806599305
2019-01-09,0.013967751995531298
2019-01-10,0.012421298338634146
2019-01-11,0.005093620673355348
2019-01-14,0.004178206205977104
2019-01-15,-0.013078604371081232
2019-01-16,0.0036720797529056215
2019-01-17,-0.018961696278251748
2019-01-18,0.0010302968905169518
2019-01-21,0.002895415931785439
2019-01-22,-0.014987890402934023
2019-01-23,-0.0022059324678284364
2019-01-24,0.024644838485623998
2019-01-25,-0.004824946849769302
2019-01-28,-0.007015171528079501
2019-01-29,-0.00023591512159228372
2019-01-30,0.002698599563162374
2019-01-31,0.006760993497767631
2019-02-01,-0.004953015712645599
2019-02-04,-0.011514897608803643
2019-02-05,0.00646284688729235
2019-02-06,0.00606353514585657
2019-02-07,0.017680411278745357
2019-02-08,0.020726756538678327
2019-02-11,0.013279642500849355
2019-02-12,-0.0157887392738504
2019-02-13,-0.014767846701248335
2019-02-14,-0.010780756455187356
2019-02-15,-0.0011346575528479342
2019-02-18,-0.007518544814290002
2019-02-19,0.00917914786732117
2019-02-20,0.008823993851232538
2019-02-21,0.010277492312547133
2019-02-22,0.006333175465880692
2019-02-25,0.005662896297983522
2019-02-26,-0.013791921675423285
2019-02-27,0.028608920237747894
2019-02-28,0.021082265948785615
2019-03-01,0.01676654897461367
2019-03-04,-0.01344094420941323
2019-03-05,-0.022149486706549853
2019-03-06,-0.005433863118621862
2019-03-07,-0.014081248389133588
2019-03-08,0.007843100408848658
2019-03-11,0.01647558949750025
2019-03-12,0.01886873856870854
2019-03-13,0.022462487683725905
2019-03-14,0.006386033110578481
2019-03-15,0.003952639316812145
2019-03-18,-0.008906733033047433
2019-03-19,-0.005625608730926917
2019-03-20,-0.012446246221658804
2019-03-21,0.00032650140155426335
2019-03-22,-0.000377827274181309
2019-03-25,0.002157040103242558
2019-03-26,-0.014975704893384286
2019-03-27,0.005039352452363761
2019-03-28,0.019347842309456364
2019-03-29,0.007941568757733043
2019-04-01,0.0015133715653677495
2019-04-02,-0.004816611794667542
2019-04-03,0.004134096880689308
2019-04-04,-0.005705811455341181
2019-04-05,0.0005525124661862842
2019-04-08,-0.013669929796246715
2019-04-09,0.00767699617113563
2019-04-10,0.009222551050275883
2019-04-11,-0.0077627350731327045
2019-04-12,0.020712001018961368
2019-04-15,-0.0018301073678819667
2019-04-16,-0.011898801345307087
2019-04-17,-0.014838245090495788
2019-04-18,-0.021121848099944367
2019-04-19,0.010683006372508042
2019-04-22,-0.0063983642702040875
2019-04-23,0.010125741213404704
2019-04-24,0.002401038391277039
2019-04-25,0.003902057541428205
2019-04-26,0.013755469034733203
2019-04-29,0.0016359169901204397
2019-04-30,-0.035467129775177644
2019-05-01,-0.019579547158761004
2019-05-02,0.012301069070081537
2019-05-03,0.024873559354151278
2019-05-06,0.0016716656353661322
2019-05-07,-0.005656224325438752
2019-05-08,-0.011237807873406187
2019-05-09,0.009163042031833869
2019-05-10,-0.015192251565051912
2019-05-13,-0.007491274860599945
2019-05-14,0.008902397960023834
2019-05-15,-0.0023131397220499178
2019-05-16,-0.0029700565977734184
2019-05-17,0.006105151478473136
2019-05-20,-0.0073578232774865575
2019-05-21,-0.006174588137593945
2019-05-22,-0.0057236926211216175
2019-05-23,-0.004195521083510118
2019-05-24,-0.0018643719168296717
2019-05-27,0.019401468982436155
2019-05-28,-0.005645414943833554
2019-05-29,0.00671178520862244
2019-05-30,-0.004411811235216135
2019-05-31,0.00969506468438945
2019-06-03,0.00508259491706638
2019-06-04,-0.003772507653235829
2019-06-05,0.02012807333438956
2019-06-06,-0.0021769740714393027
2019-06-07,0.015068175650161365
2019-06-10,-0.009074788242097991
2019-06-11,0.007427541008386224
2019-06-12,0.01705808928095017
2019-06-13,-0.02278972650579435
2019-06-14,-0.016501239073771407
2019-06-17,0.0013760244387837797
2019-06-18,0.0009905867117585786
2019-06-19,0.01126733731037517
2019-06-20,-0.005420044631797839
2019-06-21,-0.014955706944467207
2019-06-24,0.011433628290651832
2019-06-25,0.013457353959667817
2019-06-26,-0.005963956812013006
2019-06-27,0.003987431892151561
2019-06-28,0.023381719368118337
2019-07-01,0.003512040283254814
2019-07-02,-0.013853011655957082
2019-07-03,0.007256611333613499
2019-07-04,-0.00074048772908159
2019-07-05,0.0011378251547167152
2019-07-08,0.003964799408686047
2019-07-09,-0.007116489489768818
2019-07-10,0.00048380020980133266
2019-07-11,0.010823351593192723
2019-07-12,0.00905040767430001
2019-07-15,0.01807013113993642
2019-07-16,-0.018892665021530808
2019-07-17,-0.009788518298240012
2019-07-18,0.008212801836743267
2019-07-19,-0.019894333409013504
2019-07-22,0.014782372135481647
2019-07-23,-0.0012751626714268324
2019-07-24,-0.007777273545229991
2019-07-25,0.009803469308867541
2019-07-26,0.006054778232874835
2019-07-29,-0.003951002018726956
2019-07-30,0.0006575476260633601
2019-07-31,0.008373295645565704
2019-08-01,-0.022237474037896075
2019-08-02,-0.014113200708036561
2019-08-05,-0.014182619820270982
2019-08-06,-0.02057737939489618
2019-08-07,0.00500766273311079
2019-08-08,0.012903176524154781
2019-08-09,0.015068510340512844
2019-08-12,-0.01823839331200368
2019-08-13,0.0027806190643678954
2019-08-14,0.01154110702733474
2019-08-15,-0.012689847657659585
2019-08-16,0.006801509687717322
2019-08-19,-0.002495344619457773
2019-08-20,-0.018221988478546468
2019-08-21,-0.016662476576661756
2019-08-22,-0.0003131860486023481
2019-08-23,-0.01417312114174037
2019-08-26,0.01190258955324396
2019-08-27,-0.008789229496436802
